Tb,VO2ml_g_h
8.2246,4.99E-03
9.0217,6.05E-03
9.0942,5.00E-03
9.0942,8.03E-03
9.6377,8.06E-03
9.7101,6.04E-03
14.6739,0.0131
14.7464,0.0221
14.7826,0.0152
14.8551,0.0202
15.0362,0.0202
15.2536,0.0182
15.3261,0.0132
19.4565,0.0244
19.6377,0.0375
19.6377,0.0426
19.6739,0.0335
19.7101,0.0355
19.9638,0.0386
20,0.0203
20,0.0376
20.1812,0.0285
20.3261,0.0335
20.3623,0.0405
24.6377,0.05
24.6739,0.0748
24.7464,0.056
25,0.085
25.0725,0.0438
25.0725,0.0836
25.1087,0.0492
25.1087,0.0748
25.1449,0.0574
29.4565,0.0914
29.6014,0.1314
29.7101,0.0836
29.7101,0.0852
29.8551,0.074
29.9638,0.0965
30,0.0636
30,0.0813
30.0725,0.1049
30.2174,0.0911
30.2536,0.0846
30.2536,0.0958
30.3623,0.1022
30.5796,0.0841
34.6739,0.1511
34.8551,0.1476
34.8551,0.083
35.0725,0.1163
35.1812,0.1965
35.2536,0.1273
35.3623,0.1623
35.3623,0.1069
35.4348,0.1707
35.6522,0.1095
35.8696,0.1292
36.3768,0.1305
39.3841,0.1429
39.529,0.1597
39.7826,0.1498
39.8551,0.1669
40,0.1484
40.0362,0.1608
40.1812,0.1935
40.8333,0.233
41.0507,0.2307
41.4493,0.1958
